id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh282762,Bus,8.0,1.28,12,11,29,186,1
veh3656938,Bus,8.0,1.69,8,2,86,33,1
veh4591870,Bus,7.99,1.66,7,22,174,48,1
veh2154513,Bus,8.0,1.55,19,22,174,48,1
veh5342405,Bus,8.0,1.39,17,31,29,201,1
veh2716064,Bus,8.0,1.55,6,26,87,56,1
veh1688088,Bus,8.0,1.55,13,4,144,41,1
veh5065576,Bus,8.0,1.57,21,22,174,48,1
veh3846216,Bus,8.0,1.37,6,32,27,201,0
veh4313375,Bus,8.0,1.71,9,54,144,117,0
veh655068,Bus,8.0,1.74,8,32,86,59,0
veh3656962,Bus,8.0,1.21,9,2,230,56,0
veh2622316,Bus,8.0,1.39,18,51,29,56,0
veh5531534,Bus,7.98,1.21,9,2,230,56,0
veh1221824,Bus,8.0,1.21,17,2,230,56,0
veh4781193,Bus,8.0,1.27,16,11,29,186,1
veh1405174,Bus,8.0,1.69,8,52,174,201,0
veh3189731,Bus,7.99,1.4,21,30,145,172,0
veh1221718,Bus,8.0,1.4,8,30,145,172,0
veh376682,Bus,8.0,1.34,10,12,202,175,0
veh4875196,Bus,8.0,1.34,17,12,202,175,0
veh5158864,Bus,8.0,1.7,9,2,86,33,1
veh565751,Bus,8.0,1.4,9,30,145,172,0
veh2999838,Bus,7.99,1.38,16,32,27,201,0
veh5904297,Bus,8.0,1.55,17,26,87,56,1
veh5626527,Bus,8.0,1.4,10,51,29,56,0
veh1783642,Bus,8.0,1.22,5,2,230,56,0
veh1127903,Bus,8.0,1.35,15,11,29,186,1
veh2532457,Bus,8.0,1.38,10,32,27,201,0
veh2343549,Bus,7.99,1.69,19,2,86,33,1
veh1221814,Bus,8.0,1.55,17,26,87,56,1
veh5436926,Bus,8.0,1.54,8,4,144,41,1
veh5065578,Bus,8.0,1.66,21,24,144,178,1
veh472638,Bus,7.98,1.38,8,17,12,186,0
veh1877280,Bus,8.0,1.47,15,30,145,172,0
veh5998526,Bus,8.0,1.74,6,32,86,59,0
veh6377347,Bus,8.0,1.7,19,54,144,117,0
veh1877276,Bus,8.0,1.37,14,32,27,201,0
veh188273,Bus,8.0,1.55,4,26,87,56,1
veh5721604,Bus,7.99,1.28,13,47,215,41,0
veh1032175,Bus,8.0,1.5,10,15,4,178,0
veh3468289,Bus,8.0,1.49,22,15,4,178,0
veh565834,Bus,8.0,1.57,17,22,174,48,1
veh4591940,Bus,7.99,1.4,13,30,145,172,0
veh4123986,Bus,8.0,1.71,7,2,86,33,1
veh4030356,Bus,7.99,1.26,20,11,29,186,1
veh6281129,Bus,7.99,1.22,5,2,230,56,0
